DateTime,Platinum,Gold,Silver,Palladium,Rhodium,Iridium,Ruthenium
2018-05-22 00:00:00,908,1299,16.6,1008,2248,1374,274
2018-05-23 00:00:00,905,1295,18.4,982,2247,1372,274
2018-05-24 00:00:00,915,1304,14.6,982,2249,1377,277
2018-05-25 00:00:00,909,1304,14.6,977,2248,1425,272
2018-05-28 00:00:00,907,1300,13.47,988,2251,1426,274
2018-05-29 00:00:00,911,1308,16.47,996,2250,1423,274
2018-05-30 00:00:00,910,1305,14.38,981,2248,1423,276
2018-06-01 00:00:00,911,1305,18.44,993,2248,1426,276
2018-06-04 00:00:00,903,1296,15.4,1007,2252,1426,274
2018-06-05 00:00:00,899,1294,16.42,996,2250,1426,275
2018-06-06 00:00:00,910,1307,17.75,1014,2248,1427,275
2018-06-07 00:00:00,912,1307,17.91,1035,2248,1425,274
2018-06-08 00:00:00,901,1301,17.7,1020,2250,1426,274
2018-06-11 00:00:00,914,1302,13.9,1027,2248,1423,276
2018-06-12 00:00:00,912,1301,14.9,1022,2249,1424,274
2018-06-13 00:00:00,904,1300,18.0,1019,2251,1424,277
2018-06-14 00:00:00,916,1309,18.19,1013,2250,1425,273
2018-06-15 00:00:00,902,1299,14.11,1009,2248,1426,274
2018-06-18 00:00:00,893,1282,18.55,1002,2247,1425,275
2018-06-19 00:00:00,875,1279,14.3,986,2263,1424,274
2018-06-20 00:00:00,880,1277,14.37,978,2265,1424,273
2018-06-21 00:00:00,865,1268,15.3,958,2267,1425,273
2018-06-22 00:00:00,869,1271,13.36,965,2252,1427,277
2018-06-25 00:00:00,877,1270,15.33,962,2251,1425,275
2018-06-26 00:00:00,870,1257,16.24,947,2248,1423,274
2018-06-27 00:00:00,864,1258,15.21,950,2250,1427,274
2018-06-28 00:00:00,850,1257,17.04,942,2247,1424,273
2018-06-29 00:00:00,854,1254,14.13,952,2252,1427,276
2018-07-02 00:00:00,842,1252,15.91,947,2252,1417,272
2018-07-03 00:00:00,844,1248,14.95,956,2249,1416,269
2018-07-04 00:00:00,845,1265,17.07,951,2248,1416,270
2018-07-05 00:00:00,843,1259,13.05,952,2250,1414,270
2018-07-06 00:00:00,848,1258,13.04,953,2250,1417,267
2018-07-09 00:00:00,862,1265,13.18,972,2247,1416,269
2018-07-10 00:00:00,843,1256,15.04,955,2263,1416,271
2018-07-11 00:00:00,842,1255,12.98,948,2266,1416,271
2018-07-12 00:00:00,848,1247,12.95,955,2263,1413,269
2018-07-13 00:00:00,835,1245,12.86,944,2263,1413,267
2018-07-16 00:00:00,829,1241,12.8,929,2267,1414,270
2018-07-17 00:00:00,828,1235,15.63,917,2263,1417,267
2018-07-18 00:00:00,812,1226,12.52,913,2312,1414,271
2018-07-19 00:00:00,803,1219,13.3,890,2325,1417,271
2018-07-20 00:00:00,825,1236,17.5,894,2323,1415,268
2018-07-23 00:00:00,836,1235,12.55,909,2342,1425,271
2018-07-24 00:00:00,845,1227,15.5,929,2341,1425,269
2018-07-25 00:00:00,844,1227,13.52,930,2338,1422,268
2018-07-26 00:00:00,835,1236,17.56,939,2326,1426,270
2018-07-27 00:00:00,830,1226,17.45,934,2324,1427,268
2018-07-30 00:00:00,827,1226,13.45,929,2326,1424,268
2018-07-31 00:00:00,834,1227,15.53,935,2322,1425,269
2018-08-01 00:00:00,826,1223,14.55,929,2311,1425,268
2018-08-02 00:00:00,837,1223,14.45,929,2308,1424,272
2018-08-03 00:00:00,839,1220,17.47,925,2323,1423,267
2018-08-06 00:00:00,829,1213,13.35,911,2335,1427,270
2018-08-07 00:00:00,843,1214,17.48,926,2336,1426,268
2018-08-08 00:00:00,833,1219,14.47,915,2332,1422,267
2018-08-09 00:00:00,844,1218,12.47,910,2336,1422,270
2018-08-10 00:00:00,835,1216,17.38,914,2346,1425,269
2018-08-13 00:00:00,818,1210,12.25,904,2343,1423,272
2018-08-14 00:00:00,807,1198,17.06,903,2346,1423,267
2018-08-15 00:00:00,778,1192,13.8,859,2345,1424,271
2018-08-16 00:00:00,798,1186,15.75,897,2346,1422,269
2018-08-17 00:00:00,788,1184,13.8,912,2358,1425,272
2018-08-20 00:00:00,800,1188,12.82,923,2359,1423,269
2018-08-21 00:00:00,801,1197,16.83,922,2382,1425,271
2018-08-22 00:00:00,800,1199,14.88,927,2380,1426,272
2018-08-23 00:00:00,784,1197,13.57,921,2377,1425,268
2018-08-24 00:00:00,796,1196,12.65,942,2381,1425,267
2018-08-27 00:00:00,804,1213,14.9,951,2379,1425,267
2018-08-28 00:00:00,811,1215,14.95,959,2388,1441,279
2018-08-29 00:00:00,800,1208,15.78,949,2392,1442,279
2018-08-30 00:00:00,793,1205,15.65,986,2392,1438,279
2018-08-31 00:00:00,797,1210,16.58,985,2388,1439,280
2018-09-03 00:00:00,793,1203,14.5,988,2389,1438,280
2018-09-04 00:00:00,778,1197,13.07,981,2389,1441,277
2018-09-05 00:00:00,784,1199,11.2,989,2389,1438,282
2018-09-06 00:00:00,794,1206,14.26,988,2392,1439,278
2018-09-07 00:00:00,783,1197,14.16,983,2401,1442,281
2018-09-10 00:00:00,794,1196,13.2,987,2398,1441,279
2018-09-11 00:00:00,790,1200,14.2,985,2398,1437,281
2018-09-12 00:00:00,792,1197,16.15,980,2398,1441,282
2018-09-13 00:00:00,812,1212,12.33,984,2398,1439,277
2018-09-14 00:00:00,811,1207,13.28,988,2402,1438,282
2018-09-17 00:00:00,808,1207,15.25,985,2425,1471,277
2018-09-18 00:00:00,817,1205,11.27,1002,2442,1472,283
2018-09-19 00:00:00,825,1207,15.28,1043,2501,1467,284
2018-09-20 00:00:00,833,1210,16.33,1052,2526,1468,285
2018-09-21 00:00:00,831,1197,14.3,1054,2582,1470,282
2018-09-24 00:00:00,835,1202,13.35,1065,2586,1468,282
2018-09-25 00:00:00,831,1207,16.45,1072,2582,1471,285
2018-09-26 00:00:00,836,1204,13.55,1068,2585,1469,284
2018-09-27 00:00:00,826,1193,16.3,1086,2583,1467,284
2018-09-28 00:00:00,815,1187,16.32,1093,2587,1468,283
2018-10-01 00:00:00,823,1188,15.52,1059,2587,1468,283
2018-10-02 00:00:00,832,1204,12.75,1068,2585,1470,286
2018-10-04 00:00:00,837,1209,11.78,1069,2582,1470,284
2018-10-05 00:00:00,829,1209,14.68,1079,2582,1467,286
2018-10-08 00:00:00,814,1187,11.34,1066,2584,1469,286
2018-10-09 00:00:00,823,1190,12.35,1078,2563,1471,285
2018-10-10 00:00:00,823,1194,16.42,1087,2500,1469,285
2018-10-11 00:00:00,833,1210,15.46,1088,2497,1467,286
2018-10-12 00:00:00,846,1222,12.58,1087,2500,1468,282
2018-10-15 00:00:00,846,1233,14.78,1087,2463,1470,286
2018-10-16 00:00:00,849,1230,11.7,1089,2438,1472,282
2018-10-17 00:00:00,845,1228,12.72,1088,2442,1469,287
2018-10-18 00:00:00,834,1229,13.59,1078,2465,1467,286
2018-10-19 00:00:00,837,1233,12.65,1084,2465,1467,283
2018-10-22 00:00:00,829,1223,15.55,1122,2466,1481,283
2018-10-23 00:00:00,835,1242,16.8,1141,2464,1478,282
2018-10-24 00:00:00,834,1235,12.75,1136,2463,1482,284
2018-10-25 00:00:00,828,1235,12.65,1113,2430,1477,285
2018-10-26 00:00:00,829,1242,11.75,1104,2408,1481,282
2018-10-29 00:00:00,845,1234,16.77,1114,2409,1481,284
2018-10-30 00:00:00,835,1233,14.48,1080,2392,1479,286
2018-10-31 00:00:00,842,1220,16.32,1090,2390,1480,286
2018-11-01 00:00:00,859,1235,13.6,1107,2389,1481,284
2018-11-02 00:00:00,869,1237,14.8,1114,2390,1480,287
2018-11-05 00:00:00,875,1234,14.7,1134,2390,1478,282
2018-11-06 00:00:00,875,1234,14.6,1119,2428,1482,284
2018-11-07 00:00:00,878,1236,12.7,1135,2429,1478,282
2018-11-08 00:00:00,871,1228,13.42,1124,2429,1477,287
2018-11-09 00:00:00,861,1214,15.24,1119,2452,1477,283
2018-11-12 00:00:00,854,1210,16.19,1114,2485,1479,284
2018-11-13 00:00:00,844,1206,16.03,1112,2499,1479,282
2018-11-14 00:00:00,842,1210,12.08,1139,2514,1478,282
2018-11-15 00:00:00,841,1215,15.26,1150,2513,1482,282
2018-11-16 00:00:00,844,1227,14.32,1187,2514,1480,284
2018-11-19 00:00:00,851,1227,16.39,1184,2541,1482,282
2018-11-20 00:00:00,848,1229,14.4,1151,2540,1482,284
2018-11-21 00:00:00,852,1227,12.41,1156,2572,1479,286
2018-11-22 00:00:00,850,1233,11.52,1160,2573,1482,284
2018-11-23 00:00:00,848,1228,12.43,1156,2573,1482,284
2018-11-26 00:00:00,848,1228,13.4,1157,2575,1482,284
2018-11-27 00:00:00,842,1222,15.22,1152,2572,1478,287
2018-11-28 00:00:00,833,1219,12.16,1184,2585,1477,284
2018-11-29 00:00:00,832,1228,13.37,1185,2587,1478,283
2018-11-30 00:00:00,804,1223,15.12,1195,2583,1480,283
2018-12-03 00:00:00,814,1229,13.44,1226,2584,1477,286
2018-12-04 00:00:00,809,1245,12.63,1242,2582,1477,286
2018-12-05 00:00:00,806,1244,14.53,1270,2585,1480,287
2018-12-06 00:00:00,792,1248,11.52,1209,2584,1480,287
2018-12-07 00:00:00,792,1241,14.47,1212,2584,1482,286
2018-12-10 00:00:00,796,1250,14.6,1231,2584,1482,282
2018-12-11 00:00:00,786,1249,13.64,1256,2577,1481,285
2018-12-12 00:00:00,799,1249,13.77,1270,2540,1482,282
2018-12-13 00:00:00,802,1243,16.75,1272,2532,1469,280
2018-12-14 00:00:00,793,1240,13.59,1234,2521,1472,281
2018-12-17 00:00:00,789,1241,14.65,1265,2521,1470,280
2018-12-18 00:00:00,793,1249,14.75,1269,2502,1471,277
2018-12-19 00:00:00,797,1261,11.8,1259,2465,1467,280
2018-12-20 00:00:00,797,1257,12.78,1279,2467,1470,279
2018-12-21 00:00:00,793,1256,16.67,1260,2465,1470,277
2018-12-27 00:00:00,799,1273,17.13,1266,2466,1470,278
2018-12-28 00:00:00,804,1286,16.34,1277,2466,1467,281
2019-01-02 00:00:00,793,1297,12.42,1267,2463,1471,277
2019-01-03 00:00:00,800,1295,17.62,1271,2466,1468,280
2019-01-04 00:00:00,815,1283,17.67,1301,2465,1469,281
2019-01-07 00:00:00,831,1292,13.81,1316,2450,1467,277
2019-01-08 00:00:00,827,1285,16.6,1334,2449,1468,282
2019-01-09 00:00:00,824,1292,17.78,1341,2448,1471,280
2019-01-10 00:00:00,832,1299,17.75,1340,2451,1472,279
2019-01-11 00:00:00,827,1296,17.76,1341,2437,1471,282
2019-01-14 00:00:00,815,1296,16.6,1339,2438,1467,278
2019-01-15 00:00:00,809,1296,14.6,1339,2437,1467,282
2019-01-16 00:00:00,807,1296,14.66,1358,2437,1468,277
2019-01-17 00:00:00,807,1295,12.55,1399,2442,1472,280
2019-01-18 00:00:00,815,1287,12.5,1422,2462,1471,280
2019-01-21 00:00:00,807,1286,17.33,1391,2462,1467,280
2019-01-22 00:00:00,792,1283,12.3,1360,2486,1470,278
2019-01-23 00:00:00,801,1286,14.45,1365,2486,1467,278
2019-01-24 00:00:00,802,1289,15.35,1337,2499,1469,280
2019-01-25 00:00:00,817,1293,17.6,1341,2497,1472,277
2019-01-28 00:00:00,817,1304,14.67,1343,2501,1467,280
2019-01-29 00:00:00,826,1312,14.93,1345,2499,1467,280
2019-01-30 00:00:00,828,1320,14.05,1348,2498,1470,281
2019-01-31 00:00:00,825,1331,15.15,1383,2497,1471,282
2019-02-01 00:00:00,832,1324,15.03,1376,2502,1468,277
2019-02-04 00:00:00,824,1315,12.82,1377,2507,1472,278
2019-02-05 00:00:00,829,1320,14.92,1377,2518,1468,280
2019-02-06 00:00:00,822,1317,17.87,1385,2521,1467,278
2019-02-07 00:00:00,813,1319,17.78,1395,2519,1471,280
2019-02-08 00:00:00,805,1317,13.7,1401,2518,1467,277
2019-02-11 00:00:00,796,1314,12.77,1394,2520,1470,281
2019-02-12 00:00:00,790,1312,16.78,1407,2547,1463,277
2019-02-13 00:00:00,795,1314,12.8,1421,2551,1464,277
2019-02-14 00:00:00,792,1309,17.7,1415,2547,1466,274
2019-02-15 00:00:00,790,1317,15.64,1427,2599,1459,272
2019-02-18 00:00:00,810,1326,17.82,1460,2672,1462,274
2019-02-19 00:00:00,815,1329,17.78,1485,2702,1461,272
2019-02-20 00:00:00,825,1350,14.1,1502,2725,1460,275
2019-02-21 00:00:00,830,1335,13.98,1486,2701,1459,275
2019-02-22 00:00:00,840,1328,13.93,1487,2701,1457,273
2019-02-25 00:00:00,857,1337,14.0,1536,2698,1459,272
2019-02-26 00:00:00,857,1334,14.9,1571,2716,1458,273
2019-02-27 00:00:00,876,1323,15.8,1535,2751,1459,273
2019-02-28 00:00:00,881,1324,14.78,1554,2747,1457,276
2019-03-01 00:00:00,872,1310,13.5,1572,2822,1457,273
2019-03-04 00:00:00,848,1290,16.1,1545,2851,1462,275
2019-03-05 00:00:00,843,1287,14.1,1534,2910,1461,274
2019-03-06 00:00:00,832,1285,12.12,1519,2950,1461,274
2019-03-07 00:00:00,830,1290,12.02,1539,2976,1458,277
2019-03-08 00:00:00,823,1303,17.3,1530,3023,1460,276
2019-03-11 00:00:00,818,1301,14.35,1530,3127,1460,274
2019-03-12 00:00:00,838,1298,14.41,1551,3147,1458,273
2019-03-13 00:00:00,847,1308,17.51,1554,3149,1460,274
2019-03-14 00:00:00,836,1303,12.3,1553,3169,1460,272
2019-03-15 00:00:00,832,1302,13.36,1569,3168,1459,274
2019-03-18 00:00:00,842,1310,15.42,1579,3191,1457,277
2019-03-19 00:00:00,853,1314,17.4,1591,3216,1457,276
2019-03-20 00:00:00,867,1305,14.37,1609,3242,1462,273
2019-03-21 00:00:00,874,1321,17.59,1616,3282,1460,275
2019-03-22 00:00:00,859,1313,15.4,1577,3299,1462,276
2019-03-25 00:00:00,857,1319,15.55,1570,3333,1457,272
2019-03-26 00:00:00,863,1326,14.51,1560,3337,1462,275
2019-03-27 00:00:00,863,1319,14.35,1473,3334,1457,275
2019-03-28 00:00:00,855,1304,15.17,1387,3272,1458,275
2019-03-29 00:00:00,859,1303,17.2,1396,3098,1460,275
2019-04-01 00:00:00,856,1299,15.16,1427,3097,1457,275
2019-04-02 00:00:00,853,1292,12.12,1448,3027,1457,276
2019-04-03 00:00:00,867,1296,14.1,1414,3025,1459,274
2019-04-04 00:00:00,893,1287,16.0,1387,2997,1462,272
2019-04-05 00:00:00,908,1293,13.15,1385,2998,1461,269
2019-04-08 00:00:00,919,1306,13.3,1387,2999,1460,268
2019-04-09 00:00:00,906,1309,16.35,1406,3000,1461,272
2019-04-10 00:00:00,902,1302,15.23,1397,2963,1461,269
2019-04-11 00:00:00,910,1312,16.25,1398,2965,1462,270
2019-04-12 00:00:00,903,1299,17.0,1386,2948,1460,272
2019-04-15 00:00:00,892,1292,15.95,1376,2928,1458,267
2019-04-16 00:00:00,884,1277,12.98,1372,2930,1459,270
2019-04-17 00:00:00,891,1281,13.07,1384,2897,1457,266
2019-04-18 00:00:00,897,1281,15.02,1412,2922,1457,267
2019-04-23 00:00:00,895,1272,15.8,1398,2952,1459,270
2019-04-24 00:00:00,899,1277,13.85,1417,2949,1461,267
2019-04-25 00:00:00,894,1282,12.91,1429,2949,1461,269
2019-04-26 00:00:00,898,1289,15.1,1455,2949,1461,257
2019-04-29 00:00:00,894,1281,14.0,1368,2977,1462,260
2019-04-30 00:00:00,889,1283,12.87,1367,2975,1462,259
2019-05-02 00:00:00,854,1267,14.63,1360,2924,1461,258
2019-05-03 00:00:00,861,1280,16.88,1377,2924,1458,257
2019-05-06 00:00:00,870,1285,13.9,1344,2923,1461,257
2019-05-07 00:00:00,876,1288,11.83,1343,2922,1459,262
2019-05-08 00:00:00,872,1288,16.0,1337,2922,1462,261
2019-05-09 00:00:00,856,1284,13.77,1286,2926,1461,259
2019-05-10 00:00:00,862,1288,13.81,1320,2926,1460,260
2019-05-13 00:00:00,867,1294,15.74,1341,2922,1459,258
2019-05-14 00:00:00,863,1301,12.82,1332,2899,1459,260
2019-05-15 00:00:00,849,1298,15.82,1348,2898,1462,258
2019-05-16 00:00:00,853,1298,11.8,1344,2901,1461,261
2019-05-17 00:00:00,828,1284,15.45,1324,2886,1459,261
2019-05-20 00:00:00,819,1280,15.44,1322,2849,1462,259
2019-05-21 00:00:00,820,1278,12.47,1344,2850,1462,261
2019-05-22 00:00:00,812,1275,12.45,1320,2852,1461,257
2019-05-23 00:00:00,805,1276,12.47,1321,2801,1457,258
2019-05-24 00:00:00,814,1290,14.6,1333,2798,1460,257
2019-05-27 00:00:00,806,1293,15.63,1336,2801,1457,259
2019-05-28 00:00:00,810,1281,12.35,1347,2797,1461,260
2019-05-29 00:00:00,802,1285,15.42,1350,2802,1459,259
2019-05-31 00:00:00,795,1292,12.53,1372,2797,1460,258
2019-06-03 00:00:00,818,1323,14.73,1333,2848,1458,262
2019-06-04 00:00:00,823,1327,11.76,1350,2852,1462,257
2019-06-05 00:00:00,826,1345,12.93,1349,2900,1460,251
2019-06-06 00:00:00,808,1341,12.95,1353,2924,1459,251
2019-06-07 00:00:00,817,1346,16.1,1372,2924,1462,247
2019-06-11 00:00:00,811,1336,13.74,1389,3013,1459,248
2019-06-12 00:00:00,826,1335,12.85,1401,3252,1458,247
2019-06-13 00:00:00,811,1342,12.84,1445,3549,1458,252
2019-06-14 00:00:00,811,1350,14.95,1457,3502,1458,249
2019-06-17 00:00:00,801,1342,11.87,1468,3452,1461,250
2019-06-18 00:00:00,807,1356,16.03,1491,3398,1459,250
2019-06-19 00:00:00,806,1349,15.99,1510,3352,1462,251
2019-06-21 00:00:00,812,1407,17.4,1516,3247,1458,251
2019-06-24 00:00:00,818,1422,12.47,1537,3148,1458,252
2019-06-25 00:00:00,821,1432,17.46,1548,3147,1458,247
2019-06-26 00:00:00,822,1408,12.33,1540,3148,1461,248
2019-06-27 00:00:00,820,1407,17.25,1542,3248,1458,250
2019-06-28 00:00:00,830,1414,17.31,1547,3397,1459,252
2019-07-01 00:00:00,853,1397,12.22,1555,3451,1462,251
2019-07-02 00:00:00,839,1393,12.19,1554,3452,1462,249
2019-07-03 00:00:00,847,1429,15.35,1575,3449,1461,247
2019-07-04 00:00:00,842,1427,12.33,1566,3449,1459,248
2019-07-05 00:00:00,813,1393,13.01,1568,3427,1460,248
2019-07-08 00:00:00,820,1406,17.07,1570,3422,1460,252
2019-07-09 00:00:00,817,1394,16.0,1561,3498,1457,247
2019-07-10 00:00:00,828,1417,15.3,1591,3552,1461,248
2019-07-11 00:00:00,831,1419,12.2,1584,3624,1458,252
2019-07-12 00:00:00,824,1409,12.15,1537,3623,1457,248
2019-07-15 00:00:00,847,1421,16.4,1573,3623,1462,248
2019-07-16 00:00:00,848,1417,12.65,1556,3622,1461,248
2019-07-17 00:00:00,843,1410,13.85,1548,3548,1457,249
2019-07-18 00:00:00,848,1422,17.08,1517,3547,1461,251
2019-07-19 00:00:00,857,1438,18.35,1508,3525,1462,249
2019-07-22 00:00:00,855,1430,18.35,1525,3497,1457,249
2019-07-23 00:00:00,855,1427,15.52,1537,3498,1460,252
2019-07-24 00:00:00,873,1425,14.55,1535,3498,1462,252
2019-07-25 00:00:00,876,1422,14.5,1539,3549,1460,252
2019-07-26 00:00:00,872,1426,13.47,1543,3552,1458,250
2019-07-29 00:00:00,884,1425,18.4,1563,3598,1461,248
2019-07-30 00:00:00,878,1425,18.45,1543,3650,1458,248
2019-07-31 00:00:00,885,1434,15.55,1537,3650,1459,251
2019-08-01 00:00:00,854,1408,16.0,1475,3702,1458,252
2019-08-02 00:00:00,854,1443,13.2,1397,3626,1460,251
2019-08-05 00:00:00,861,1465,15.49,1452,3623,1458,250
2019-08-06 00:00:00,852,1472,14.4,1443,3599,1462,248
2019-08-07 00:00:00,864,1502,17.0,1442,3701,1459,247
2019-08-08 00:00:00,857,1501,15.95,1435,3727,1462,249
2019-08-09 00:00:00,868,1514,14.15,1435,3749,1458,249
2019-08-12 00:00:00,862,1502,14.93,1433,3752,1461,248
2019-08-13 00:00:00,852,1497,18.9,1469,3825,1458,251
2019-08-14 00:00:00,856,1520,18.28,1441,3850,1461,248
2019-08-15 00:00:00,844,1522,15.2,1450,3914,1462,250
2019-08-16 00:00:00,841,1512,17.1,1455,3952,1457,248
2019-08-19 00:00:00,856,1508,15.01,1479,3951,1462,250
2019-08-20 00:00:00,851,1507,17.05,1494,3952,1462,252
2019-08-21 00:00:00,859,1504,16.1,1499,3949,1461,250
2019-08-22 00:00:00,847,1502,17.1,1466,3949,1458,249
2019-08-23 00:00:00,860,1512,16.22,1470,4173,1459,250
2019-08-26 00:00:00,866,1534,17.57,1479,4177,1461,251
2019-08-27 00:00:00,868,1532,17.9,1489,4277,1457,250
2019-08-28 00:00:00,896,1543,15.42,1472,4647,1460,252
2019-08-29 00:00:00,929,1551,19.62,1494,4798,1461,247
2019-08-30 00:00:00,942,1535,16.45,1541,5151,1459,249
2019-09-02 00:00:00,933,1529,19.37,1529,5151,1458,249
2019-09-03 00:00:00,951,1547,19.93,1542,5151,1458,248
2019-09-04 00:00:00,993,1547,20.45,1560,5000,1459,249
2019-09-05 00:00:00,967,1528,16.95,1557,4751,1461,247
2019-09-06 00:00:00,943,1507,18.17,1557,4450,1462,252
2019-09-09 00:00:00,955,1510,15.1,1560,4352,1459,251
2019-09-10 00:00:00,946,1500,16.0,1562,4497,1458,249
2019-09-11 00:00:00,942,1496,15.1,1585,4647,1458,251
2019-09-12 00:00:00,953,1525,19.28,1599,5102,1462,250
2019-09-13 00:00:00,970,1511,16.1,1613,5097,1462,247
